"Model","Scenario","Region","Variable","Unit","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 5.3+ NGFS","Delayed transition","World","Secondary Energy|Electricity|Biomass","EJ/yr","","","",0.4629270738,0.7935913516,1.099098204453,1.0120399211,1.0252893773,1.106956168,2.3110979238,5.866438121,11.037796882,13.99393034444,16.304598779999,17.74891928458,20.0361332748521,22.0857212735108,24.3535386053393,26.9175136996807,29.0708011929696,31.0158065398807,32.9724864406,33.813036939575
"GCAM 5.3+ NGFS","Delayed transition","World","Final Energy|Industry|Chemicals","EJ/yr","","","",16.8204222649,19.7745666406,21.6678350124,22.327494535557,22.817644314149,23.023956071682,22.366024503034,22.0238334453946,21.9929280793244,21.4757001215143,21.3374937277206,21.0959457417366,20.7998451179606,20.512168803008,20.1883811292116,19.8082088692766,19.4708868056196,19.1535184341695,18.8493732583633,18.4853761741222
"GCAM 5.3+ NGFS","Delayed transition","World","Final Energy|Industry|Cement","EJ/yr","","","",1.13643905,1.46670763,1.46670763,1.414130813,1.47343235487,1.55137286072,1.25789337434,1.29043561451,1.25570726068,1.111963314074,1.115071715677,1.0950170434589,1.086257903695,1.0904111860842,1.085189492238,1.0674145983851,1.0675515906317,1.06829295538328,1.06550199733171,1.02754796702073
"GCAM 5.3+ NGFS","Delayed transition","World","Final Energy|Transportation|Road|Passenger","EJ/yr","","","",44.911902144086,48.996070092542,54.110579911104,51.339394673568,48.3396418517932,45.0281948522944,40.7508963605604,37.3628777120168,36.1189116853007,33.8213222363015,32.9710737910213,32.6414636334816,32.6872434009451,32.9639605445462,33.4589024551059,33.8717806442402,34.3850589503911,34.9993015607289,35.6525545026955,35.9076716473084
"GCAM 5.3+ NGFS","Delayed transition","World","Final Energy|Transportation|Maritime","EJ/yr","","","",11.3014912655,13.893308071,14.0801159194,14.51119671242,15.3360304487,16.0507212857,14.7176124498739,14.522710546593,13.532382114641,10.804133905978,10.275496146935,9.8712144025626,9.9752431653658,10.2608379530177,10.5663355453635,10.876593117316,11.2650929080072,11.6564205946028,12.0387680901799,12.3554953791116
"GCAM 5.3+ NGFS","Delayed transition","World","Final Energy|Transportation|Aviation","EJ/yr","","","",10.21834141,10.4777502,12.19549081,13.53332162,14.90427275,16.23855656,15.6876631561172,16.6182780523172,16.67907318942,14.4475597667,14.7189157405,14.839560298,15.126577832,15.794480675,16.461119601,17.0537760599,18.1552984642,19.4046984267,20.6693864443,21.2249211155
"GCAM 5.3+ NGFS","Delayed transition","World","Final Energy|Industry|Steel","EJ/yr","","","",21.88953860537,29.14989209655,33.62328962019,40.2630329036489,43.2315686235855,43.1225394428785,37.5067931721156,33.4200479027157,31.9777854212383,31.3830567091563,32.4021999762031,33.1223991067287,33.3256155368652,33.1670370238571,32.6163838920514,31.7364199076476,30.8095188200573,29.7176537188829,28.4384463813118,26.9353117772095
"GCAM 5.3+ NGFS","Delayed transition","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr","","","",11.25364240445,14.0943979773,18.393058055,25.160338278391,37.789188254131,54.698538959185,87.567928560095,119.892399115265,153.577630372082,196.807838943724,226.01086170684,256.29128198815,281.66807529568,300.0757861236,313.73587807012,321.73777377846,326.85286928251,328.8424615757,329.83929720662,327.142025992297
"GCAM 5.3+ NGFS","Delayed transition","World","Final Energy|Industry|Non-ferrous metals","EJ/yr","","","",2.36681853963,2.9994962349537,4.06525458674,5.13675545817415,5.13592548546639,5.05517715765545,4.80312463840121,4.52295502111118,4.24525061911754,3.95862716991806,3.69354094908748,3.42193060945996,3.16438976694343,2.93545728775702,2.7258992362871,2.52400549077473,2.33277146283135,2.15182514481441,1.98071084270059,1.8135198378002
"GCAM 5.3+ NGFS","Delayed transition","World","Final Energy|Transportation|Road|Freight","EJ/yr","","","",22.99228716925,26.0177712266,29.7317340117,32.2462124517,35.2146856768172,38.1229344282805,38.3523069006495,39.680432594077,40.0276702185244,37.0036336413258,36.053245259532,35.74009381582,36.2603482309,37.6113486699,39.1059733646,40.7091691508,42.5347316597,44.56278060157,46.74172597993,48.52251524523
