"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Transportation|Rail","EJ/yr",0.002819786,0.003203284,0.003912734,0.004928005,0.005983301,0.007089675,0.008306268,0.009896722,0.011709954,0.013754749,0.016929081,0.020946227,0.026159602,0.029907116,0.0338742,0.037948962,0.04290076
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Transportation|Road|Passenger","EJ/yr",0.241170203,0.258377333,0.280069965,0.302108514,0.322771685,0.357692678,0.407853761,0.488391453,0.596120823,0.727230122,0.874220122,1.05615126,1.271642326,1.51136335,1.764471704,2.015823932,2.258605167
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Industry|Chemicals","EJ/yr",0.00141011,0.00567365,0.00949244,0.015228937,0.020657694,0.024586356,0.02789715,0.030861125,0.03361213,0.036524945,0.039661246,0.042948508,0.046415594,0.049860817,0.05284128,0.055426271,0.057590866
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Industry|Cement","EJ/yr",0.003959702,0.005032732,0.006727717,0.009672153,0.013574338,0.01807259,0.02353955,0.030627392,0.037914574,0.044171145,0.049738931,0.054805801,0.059414023,0.063648924,0.067263392,0.070287798,0.07283334
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Industry|Steel","EJ/yr",0.003763329,0.007425469,0.017199908,0.035721547,0.068596931,0.121581878,0.194468876,0.287887341,0.392745092,0.501257503,0.605840814,0.698746849,0.775254317,0.83372121,0.87279603,0.89406955,0.90002694
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Transportation|Road|Freight","EJ/yr",0.250645407,0.279356646,0.318028268,0.352993968,0.397805789,0.456193248,0.529537266,0.624419342,0.741448552,0.879949388,1.038753749,1.215489951,1.414924385,1.644784084,1.895571738,2.161396522,2.440572281
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Transportation|Aviation","EJ/yr",0.1098618,0.128593,0.155604,0.188922478,0.243023276,0.314885138,0.408357591,0.532389645,0.682125729,0.864567958,1.092845853,1.371025838,1.710465523,2.111407312,2.560220504,3.03998028,3.55841375
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Transportation|Maritime","EJ/yr",0.101104692,0.10420034,0.105891573,0.11147638,0.11890229,0.12842496,0.13987239,0.153773811,0.168525518,0.184230242,0.200982935,0.218415559,0.237916323,0.258907459,0.280325143,0.301599768,0.323127093
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Secondary Energy|Electricity|Oil","EJ/yr",0.1625036,0.1699081,0.1771682,0.230077,0.292982,0.33652,0.389329,0.476285,0.5280411,0.5284721,0.5139914,0.4789832,0.4463291,0.4123736,0.3696828,0.3432284,0.3288676
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Secondary Energy|Liquids|Oil","EJ/yr",3.715102933,3.868344609,4.074285243,4.40747406,4.763804638,5.058799909,5.371014379,5.821308206,6.179121257,6.4393386,6.6456539,6.7788888,6.8877812,6.9518409,6.9545586,7.0424659,7.0937744
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation","EJ/yr",2.180744156,2.3026921,2.466896518,2.624869297,2.861923674,3.135537605,3.410815633,3.736887874,4.076763689,4.41561269,4.740973921,5.056420848,5.369847269,5.668075009,5.935369841,6.250121603,6.495451124
