"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation","EJ/yr",2.38696997291,2.51823661550124,2.71567614873315,2.78109809273326,2.85277893691824,2.94142413329067,3.035659419316,3.201898790117,3.399365498144,3.6615073627319,3.9774832935293,4.35820250279892,4.75616180733277,5.19169587142883,5.6502154216225,6.1202925162991,6.566807190237
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Aviation","EJ/yr",0.1445396,0.1693272,0.2020455,0.2268275171225,0.270611584916,0.31057775779,0.3495008612,0.390829536,0.430545298,0.48182259,0.53515815,0.59724703,0.65676089,0.7570897,0.85429383,0.94796156,1.03776747
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Aviation|Passenger","EJ/yr",0.1445396,0.1693272,0.2020455,0.2268275171225,0.270611584916,0.31057775779,0.3495008612,0.390829536,0.430545298,0.48182259,0.53515815,0.59724703,0.65676089,0.7570897,0.85429383,0.94796156,1.03776747
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Maritime","EJ/yr",0.20128283,0.20812897,0.21237926,0.21012651356,0.2141035879,0.2138710145,0.210973051,0.205358004,0.1914148152,0.18286931995,0.188721641134,0.2016582019203,0.21443755751809,0.2259190004077,0.238329495442,0.25204306181,0.26706847987
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Rail","EJ/yr",0.01986316321,0.0224808924,0.0254454151,0.0284653819,0.031626518,0.034389692,0.036838396,0.040251318,0.042450007,0.04431216,0.046617111,0.049997521,0.053214072,0.061012257,0.068546141,0.075890278,0.083993306
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Road|Freight","EJ/yr",1.093085563,1.21673566538034,1.35700571188595,1.39820660769786,1.44188911734584,1.4697699664018,1.509484197678,1.59742450447,1.72176478685,1.8949834691,2.10183346244,2.33865822902,2.58658011305,2.841470375675,3.107667882876,3.384058607797,3.65213793862
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Road|Passenger","EJ/yr",0.9281988167,0.9015638877209,0.9188002617472,0.9174720724529,0.8945481287564,0.91281570259887,0.928862913438,0.968035427647,1.013190591094,1.0575198236819,1.1051529289553,1.17064152085862,1.24516917476468,1.30620453834613,1.3813780723045,1.4603390086921,1.525839995747
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Primary Energy|Coal","EJ/yr",0.261706781127866,0.262121861408798,0.230507344715651,0.108035673769199,0.040604329779581,0.01906705819079,0.011465227104403,0.021822802794615,0.00800424077845,0.003463432167708,0.002160479471499,0.001875831163936,0.001995178123528,0.001981193725138,0.002172891018716,0.00195865390956,0.002031123939546
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Primary Energy|Gas","EJ/yr",4.09946858215984,4.3716029108739,4.62122945858668,4.23438611816675,3.82493205454069,3.10082467233756,2.37156636231944,1.99566012110132,1.6520667415036,1.33506034026413,1.04274213099719,0.84991796318462,0.721243966822772,0.713606205369142,0.723378236932286,0.744779434766257,0.788450971648975
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Secondary Energy|Electricity|Biomass","EJ/yr",0.00174389,0.002398385,0.00413987973,0.005826136,0.006913546,0.0057486053,0.00497144,0.01032620622,0.0121290437299999,0.0259701822549999,0.0548491028584,0.1094207165135,0.16112135589238,0.1643044479736,0.1788278289592,0.203741631905,0.240797928541
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Secondary Energy|Electricity|Coal","EJ/yr",0.0872748,0.0898765,0.0805107841207,0.03713078,0.01321774,0.00604229,0.003664859,0.0088482843,0.00313158572,0.001323010594,0.000898248087,0.00087249132179999,0.00099159436456,0.00099796342169,0.00110475,0.000998397,0.00105799
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Secondary Energy|Electricity|Gas","EJ/yr",1.098537,1.216812,1.2814661591,1.102878664,0.918269276,0.58779616,0.25344935,0.11268884,0.05721455,0.031640563,0.020833448,0.020559254,0.027564169,0.024580713,0.02637313,0.026711412,0.030238187
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.206468866471,0.6208093639,1.220176926,2.2185286925,3.5727108805,5.4949110965,7.89031931,10.246684568,12.78371273,15.2339333,17.43311712,19.26818068,20.7781186,21.686218578,22.522006264,23.154304685,23.82911763
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Secondary Energy|Electricity|Oil","EJ/yr",0.2028592,0.1790487,0.1878745,0.222338,0.2535298,0.2460513,0.184465,0.11730894,0.0701234,0.03839211,0.020832621,0.014540031,0.010023244,0.011924293,0.014979023,0.015044016,0.00013306173
