country,sector_id,sector,gross_output,labor_share,cap_share,II_share,materials_share_II,services_share_II,energy_share_II,Kq_GFCF,H_EMP
FR,14,3-energy-intensive|iron and steel,28015.25287111,0.237861074772852,0.0652243819787514,0.696914543248397,0.379737619534324,0.574100691246322,0.0461616892193541,77667.7954674246,1074754
HR,14,3-energy-intensive|iron and steel,991.190002378,0.31664286615338,0.0862549742453227,0.597151277013753,0.379737619534324,0.574100691246322,0.0461616892193541,10196.1146712713,142386
HU,14,3-energy-intensive|iron and steel,2672.42417198,0.195578710940155,0.117000705495296,0.687420583564549,0.379737619534324,0.574100691246322,0.0461616892193541,8320521.75364936,334070
IE,14,3-energy-intensive|iron and steel,382.948451424,0.245173205601805,0.0964228255446138,0.658403970555432,0.379737619534324,0.574100691246322,0.0461616892193541,10465.8686124725,67864
IT,14,3-energy-intensive|iron and steel,37848.7498011,0.195511637360445,0.0866584223961378,0.717829941672257,0.379737619534324,0.574100691246322,0.0461616892193541,507675.526899979,2216668
JP,14,3-energy-intensive|iron and steel,219007.193317,0.134463012667882,0.0660569484952202,0.691160250001745,0.379737619534324,0.574100691246322,0.0461616892193541,6351906.93305706,4540868.0078125
LT,14,3-energy-intensive|iron and steel,42.8047964874,0.287463615935983,0.0959150236555674,0.616621359223301,0.379737619534324,0.574100691246322,0.0461616892193541,3621.40470679513,62782
LU,14,3-energy-intensive|iron and steel,3723.4083861525,0.151379865573793,0.111642049737619,0.736976749149034,0.379737619534324,0.574100691246322,0.0461616892193541,,
LV,14,3-energy-intensive|iron and steel,495.24252762125,0.325998901770325,0.170911938127207,0.503085404523506,0.379737619534324,0.574100691246322,0.0461616892193541,1458.44860546757,55748.1536330333
MT,14,3-energy-intensive|iron and steel,1.18260262318,0.201341631863797,0.110897918130847,0.687760450005356,0.379737619534324,0.574100691246322,0.0461616892193541,234.254009487766,3779.4547891449
NL,14,3-energy-intensive|iron and steel,929.226490785,0.242928021808372,0.0773354553973826,0.679736522794245,0.379737619534324,0.574100691246322,0.0461616892193541,28883.2413727684,389136
PL,14,3-energy-intensive|iron and steel,15927.59863311,0.180726898122055,0.134928658831866,0.684344443046079,0.379737619534324,0.574100691246322,0.0461616892193541,237903.441011614,1748664
PT,14,3-energy-intensive|iron and steel,1407.198477263,0.217614923474654,0.0969757783619684,0.685419951421145,0.379737619534324,0.574100691246322,0.0461616892193541,33933.02467115,339252
RO,14,3-energy-intensive|iron and steel,4346.21160139,0.169835832174645,0.0890417332389945,0.74112243458636,0.379737619534324,0.574100691246322,0.0461616892193541,134053.49843176,490234
SE,14,3-energy-intensive|iron and steel,7516.34541232,0.167043819309414,0.151016822562748,0.681939358127838,0.379737619534324,0.574100691246322,0.0461616892193541,279906.301018142,316280
SI,14,3-energy-intensive|iron and steel,954.775911832,0.245760114463945,0.0814223091832319,0.672817574021012,0.379737619534324,0.574100691246322,0.0461616892193541,15548.1998307605,139336
SK,14,3-energy-intensive|iron and steel,1212.788035793,0.241619084903736,0.0680509682141761,0.69032994564888,0.379737619534324,0.574100691246322,0.0461616892193541,17322.0864469109,349804
GB,14,3-energy-intensive|iron and steel,10712.26860718,0.330453182218498,0.0951507238976572,0.574396093883845,0.379737619534324,0.574100691246322,0.0461616892193541,45683.5504521106,1169766
US,14,3-energy-intensive|iron and steel,126459.648505,0.244884990917348,0.140401112624886,0.624159854677566,0.379737619534324,0.574100691246322,0.0461616892193541,727749.540574472,6914233.58392
AT,12,3-energy-intensive|cement,5320.6607518,0.268672063895519,0.133719369316127,0.597616345062429,0.379737619534324,0.574100691246322,0.0461616892193541,11975.9390216345,91398
BE,12,3-energy-intensive|cement,3440.75052786,0.201332702678301,0.119743253081509,0.67892404424019,0.379737619534324,0.574100691246322,0.0461616892193541,8791.64301523422,78318
BG,12,3-energy-intensive|cement,957.288784317,0.121176095141198,0.133593396510741,0.745242906196928,0.379737619534324,0.574100691246322,0.0461616892193541,12371.0965779243,90639
CY,12,3-energy-intensive|cement,542.484927559,0.185453985575185,0.175036429793132,0.639509590666403,0.379737619534324,0.574100691246322,0.0461616892193541,711.718440290367,5572
CZ,12,3-energy-intensive|cement,1421.80989617,0.193811611391262,0.149121126394925,0.657067262213814,0.379737619534324,0.574100691246322,0.0461616892193541,327161.395065659,239532
DE,12,3-energy-intensive|cement,19325.7844831,0.253276098147835,0.123214138827744,0.623509763024421,0.379737619534324,0.574100691246322,0.0461616892193541,54378.5963900114,982000
DK,12,3-energy-intensive|cement,1290.75066806,0.269834888113558,0.160149156226381,0.570036949949614,0.379737619534324,0.574100691246322,0.0461616892193541,,39742
EE,12,3-energy-intensive|cement,498.159044032,0.291141571080404,0.158203296043278,0.550662582356975,0.379737619534324,0.574100691246322,0.0461616892193541,1420.52812586889,20856.9507646901
GR,12,3-energy-intensive|cement,1047.49232121,0.2061004554398,0.149237096985295,0.644662441154038,0.379737619534324,0.574100691246322,0.0461616892193541,1798.82170104772,56713
ES,12,3-energy-intensive|cement,11313.0600845,0.1898010865635,0.139001977927238,0.671196935509262,0.379737619534324,0.574100691246322,0.0461616892193541,31074.500979432,307894
FI,12,3-energy-intensive|cement,2198.99544919,0.21804102222557,0.139360890072484,0.642598087701945,0.379737619534324,0.574100691246322,0.0461616892193541,3302.73445066234,39700
FR,12,3-energy-intensive|cement,16881.5346238,0.249023536754243,0.131340321361419,0.619636141884338,0.379737619534324,0.574100691246322,0.0461616892193541,23407.8902285398,346841
HR,12,3-energy-intensive|cement,1356.0157458,0.206852245789865,0.141910329108257,0.651237419166626,0.379737619534324,0.574100691246322,0.0461616892193541,5149.88925451958,47237
HU,12,3-energy-intensive|cement,1791.03765425,0.163833459774505,0.156380956927428,0.679785583298067,0.379737619534324,0.574100691246322,0.0461616892193541,4441904.41333398,132702
IE,12,3-energy-intensive|cement,9635.2758945,0.215048353472857,0.20525338887795,0.579698257649194,0.379737619534324,0.574100691246322,0.0461616892193541,5870.41729708909,22725
IT,12,3-energy-intensive|cement,17207.9086068,0.193557543903693,0.11468933974505,0.691753110959273,0.379737619534324,0.574100691246322,0.0461616892193541,134530.592195335,537403
JP,12,3-energy-intensive|cement,4001.81076549,0.219761397339456,0.101432071940196,0.560613552958227,0.379737619534324,0.574100691246322,0.0461616892193541,2183488.96878373,1794679.125
LT,12,3-energy-intensive|cement,385.585826095,0.205432878660097,0.17680588113409,0.617761233714438,0.379737619534324,0.574100691246322,0.0461616892193541,2644.68021403038,33131
LU,12,3-energy-intensive|cement,48.8047466535,0.151379865573793,0.111642049737619,0.736976749149034,0.379737619534324,0.574100691246322,0.0461616892193541,1780.8248350416,
LV,12,3-energy-intensive|cement,630.870586087,0.325998901770325,0.170911938127207,0.503085404523506,0.379737619534324,0.574100691246322,0.0461616892193541,972.06906221474,24422.887397302
MT,12,3-energy-intensive|cement,0.147626689293,0.201341631863797,0.110897918130847,0.687760450005356,0.379737619534324,0.574100691246322,0.0461616892193541,302.276221864798,4876.92533788285
NL,12,3-energy-intensive|cement,6336.66174425,0.210217050509897,0.142127046425966,0.647655903064138,0.379737619534324,0.574100691246322,0.0461616892193541,10467.6130561439,86706
PL,12,3-energy-intensive|cement,9193.23763006,0.16752766504329,0.155398741883117,0.677073593073593,0.379737619534324,0.574100691246322,0.0461616892193541,112766.332578021,753821
PT,12,3-energy-intensive|cement,2217.22638303,0.178233731293689,0.186702553648721,0.635051911278905,0.379737619534324,0.574100691246322,0.0461616892193541,15320.2538198677,121175
RO,12,3-energy-intensive|cement,4244.47370979,0.145286773669701,0.157033904801365,0.697679325821951,0.379737619534324,0.574100691246322,0.0461616892193541,67207.8594725509,192937
SE,12,3-energy-intensive|cement,3295.99207681,0.195241626805864,0.139598816789079,0.665159556405057,0.379737619534324,0.574100691246322,0.0461616892193541,52909.423636521,64690
SI,12,3-energy-intensive|cement,670.948433567,0.252851572011506,0.135784121128925,0.611364304616289,0.379737619534324,0.574100691246322,0.0461616892193541,4040.45292259152,36107
SK,12,3-energy-intensive|cement,1748.9672472,0.190159882279025,0.134763237361038,0.675076882378228,0.379737619534324,0.574100691246322,0.0461616892193541,7112.42065981398,85970
GB,12,3-energy-intensive|cement,10140.5979824,0.297591912476759,0.0846094003102375,0.617798687213004,0.379737619534324,0.574100691246322,0.0461616892193541,14314.013461403,413466
US,12,3-energy-intensive|cement,76510.1514725,0.224097485410518,0.168711744533137,0.608800643949557,0.379737619534324,0.574100691246322,0.0461616892193541,199497.784339106,2217839.72383999
AT,1,1-fossil|coal,107.57222419971,0.0628004260040793,0.152100650680983,0.785126239913177,0.953795998454159,0.0357577816598367,0.0104462198860039,4397.38054937736,13279
BE,1,1-fossil|coal,126.2869285403,0.079054832796567,0.0337418417217005,0.887203325481733,0.893002749990311,0.08727992742566,0.0197173225840289,4938.98381778755,11915.8
BG,1,1-fossil|coal,653.1401651245,0.211586031795395,0.332424746610396,0.455989898255557,0.502176420939369,0.418504390722083,0.0793191883385478,10162.1529303221,38508
CY,1,1-fossil|coal,0.091328693781468,0.175534094934221,0.299023740465212,0.52544215866107,0.979918460516027,0.0136190519139819,0.00646248756999094,98.6582216024416,1038
CZ,1,1-fossil|coal,3105.318834066,0.255620018043477,0.156855992225097,0.587523989731427,0.578188790284681,0.354084073131329,0.0677271365839905,207287.483879387,39774
DE,1,1-fossil|coal,7493.061591198,0.284025319021929,0.122253760663555,0.593720920314516,0.521125158453789,0.402445376917667,0.0764294646285445,20476.9211613314,92000
DK,1,1-fossil|coal,62.61453236557,0.211975526823219,0.295034257836932,0.493040158244504,0.533920450414913,0.391601394827627,0.0744781547574601,,7939
EE,1,1-fossil|coal,291.2746425926,0.20027411710283,0.308112286560464,0.491613899033089,0.510996457357872,0.411029429052874,0.0779741135892542,914.656476313472,13072.7805950571
GR,1,1-fossil|coal,1030.2456019279,0.313894559593434,0.213640135039554,0.472465311740299,0.505062591067031,0.416058367820201,0.0788790411127677,5645.88376463301,25373
ES,1,1-fossil|coal,2192.100983212,0.140602916950821,0.298295461238354,0.561101621810825,0.527130720017104,0.397355676562951,0.0755136034199447,29182.005389186,46351
FI,1,1-fossil|coal,775.1783946849,0.149300470081709,0.203481733967109,0.647217795951182,0.539204853365315,0.387122874827863,0.073672271806822,6255.5028091141,16800
FR,1,1-fossil|coal,488.5670035788,0.180750874406557,0.140800661529378,0.678448464064065,0.581397439676009,0.351364749755317,0.0672378105686741,18297.0276802714,34468
HR,1,1-fossil|coal,335.94888073603,0.288668013204329,0.145366115110452,0.56596587169213,0.496118438269645,0.423638517850393,0.0802430438799616,3713.36887463049,15300
HU,1,1-fossil|coal,289.3604955485,0.0696454726300201,0.128652789227941,0.801701738142039,0.909086043374119,0.0736493712857325,0.0172645853401486,2322020.7296631,19566
IE,1,1-fossil|coal,87.40122009037,0.311503213264746,0.0976706009462777,0.590826189266628,0.513456777078918,0.4089443134438,0.0775989094772817,,14351
IT,1,1-fossil|coal,379.2181700253,0.0329344663802906,0.0515729335196667,0.915495369373711,0.869681807827378,0.107044375154251,0.0232738170183711,86568.172430864,59709
JP,1,1-fossil|coal,7008.67463917,0.0647715757585369,0.0514694750343421,0.56415870781427,0.899736982934,0.0815726796619204,0.0186903374040793,533618.569118402,156877.9296875
LT,1,1-fossil|coal,52.4898379824,0.216085986794146,0.279836916234248,0.50407709414381,0.490480842288071,0.428416368175404,0.0811027895365245,,
LU,1,1-fossil|coal,0,,,,,,,73.9465188749558,457
LV,1,1-fossil|coal,146.375354559,0.193798437291029,0.252906986601285,0.553294573643411,0.490480842288071,0.428416368175404,0.0811027895365245,298.471767241968,4907.80820493928
MT,1,1-fossil|coal,0.04456753721277,0.201341631863797,0.110897918130847,0.687760450005356,0.531661650242801,0.393515723057556,0.0748226266996433,,
NL,1,1-fossil|coal,480.240368578,0.0444016522381364,0.0744553585923607,0.881142989169503,0.858452718066251,0.116561004288394,0.0249862776453542,45422.7079346747,21984
PL,1,1-fossil|coal,14211.42175534,0.276478155196372,0.201846373646681,0.521675471156947,0.574929660891796,0.356846178198798,0.0682241609094065,86367.7978542301,466916
PT,1,1-fossil|coal,2.78569684109e-06,0.233787771522272,0.204313570601272,0.561898652982681,0.490480842288071,0.428416368175404,0.0811027895365245,10486.8547236303,22829
RO,1,1-fossil|coal,1089.2327056803,0.286609319839127,0.30250726420131,0.410883409585188,0.512468600417248,0.409781791013949,0.0777496085688031,123180.533197895,129384
SE,1,1-fossil|coal,242.0519862779,0.0667497301340839,0.248504394126899,0.6847458757083,0.693263395168698,0.256558595934555,0.0501780088967473,90063.3695920149,22690
SI,1,1-fossil|coal,222.462848864664,0.308008020171191,0.137237365734265,0.554754616713628,0.490481141674163,0.428416114446343,0.0811027438794938,381.444749220486,3691
SK,1,1-fossil|coal,358.268182979,0.0933190489808473,0.126673172907153,0.780057211445565,0.840714894294911,0.131593771330921,0.0276913343741678,6832.32575109177,13340
GB,1,1-fossil|coal,2695.527765882,0.122667375820915,0.281702086812569,0.595630537366516,0.599991306930271,0.335606487724063,0.0644022053456662,117722.870478087,144446
US,1,1-fossil|coal,42146.376143226,0.171899850253708,0.221385017356676,0.519025403723775,0.493450684213622,0.425899433606911,0.0806498821794673,2154568.92878098,1407230.75773476
AT,28,9-other|manufacturing_mining|misc,15747.9510967795,0.195931781770008,0.168555549056243,0.635512666702643,0.394598159507694,0.554551434391997,0.050850406100309,57714.0790698837,480268
BE,28,9-other|manufacturing_mining|misc,8127.544123847,0.177449268772219,0.103775066685769,0.718775664542013,0.398806225550273,0.549015662201097,0.05217811224863,54772.5034861003,424472.5
BG,28,9-other|manufacturing_mining|misc,2167.3058491,0.1811251448634,0.126376308082183,0.692487303798122,0.398169848055866,0.549852826067064,0.0519773258770695,59368.9644015472,611082
CY,28,9-other|manufacturing_mining|misc,561.520020420223,0.285547529890705,0.0789889910312535,0.635463477351745,0.418765102588935,0.522759468654167,0.0584754287568978,4884.9189922955,67682
CZ,28,9-other|manufacturing_mining|misc,7996.1566463293,0.210387960274591,0.130668195006548,0.658943844718861,0.388568797349124,0.562483148159925,0.0489480544909506,1418239.19094709,888071
DE,28,9-other|manufacturing_mining|misc,52999.58328703,0.236444446120487,0.113652092357679,0.649903461521835,0.404020988653698,0.542155565358991,0.0538234459873114,214742.262542723,3922000
DK,28,9-other|manufacturing_mining|misc,10420.8923004273,0.203046851650042,0.0842298543803062,0.712724864005253,0.382911457158482,0.569925461608652,0.0471630812328657,,207846
EE,28,9-other|manufacturing_mining|misc,3158.2170238609,0.285361052188685,0.167739733059959,0.546906209590449,0.386488603264292,0.56521967378713,0.0482917229485777,15711.3577243799,229612.445428256
GR,28,9-other|manufacturing_mining|misc,2414.178250627,0.234642754458737,0.164295472879589,0.601061772502878,0.411046755082359,0.53291306725606,0.0560401776615805,20100.6382900661,691377
ES,28,9-other|manufacturing_mining|misc,27596.68303162,0.162532305459793,0.156725745947808,0.680741948592399,0.408991650910252,0.535616586737513,0.0553917623522346,224807.267118518,2065846
FI,28,9-other|manufacturing_mining|misc,12317.5343915602,0.135864060735486,0.103330317536059,0.760805621728455,0.398521429233056,0.549390315905903,0.0520882548610411,44878.7896064611,290600
